team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,NRG,Nouns,Mirage,8 - 13,L
,,,,,,,,,,,,,,NRG,huge sweaty,Anubis,13 - 6,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Mirage,16 - 14,W
,,,,,,,,,,,,,,NRG,BOSS,Ancient,8 - 13,L
,,,,,,,,,,,,,,NRG,Carpe Diem,Ancient,13 - 3,W
,,,,,,,,,,,,,,NRG,Nouns,Nuke,9 - 13,L
,,,,,,,,,,,,,,NRG,MIGHT,Mirage,13 - 5,W
,,,,,,,,,,,,,,NRG,FLUFFY AIMERS,Mirage,10 - 13,L
,,,,,,,,,,,,,,NRG,Limitless,Ancient,13 - 4,W
,,,,,,,,,,,,,,NRG,MIBR,Anubis,13 - 16,L
,,,,,,,,,,,,,,NRG,MIBR,Inferno,2 - 13,L
,,,,,,,,,,,,,,NRG,Wildcard,Inferno,10 - 13,L
,,,,,,,,,,,,,,NRG,Wildcard,Mirage,6 - 13,L
,,,,,,,,,,,,,,NRG,Mythic,Overpass,13 - 8,W
,,,,,,,,,,,,,,NRG,Wildcard,Inferno,13 - 8,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Vertigo,16 - 13,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Anubis,8 - 13,L
,,,,,,,,,,,,,,NRG,Party Astronauts,Inferno,13 - 8,W
,,,,,,,,,,,,,,NRG,timbermen,Vertigo,6 - 13,L
,,,,,,,,,,,,,,NRG,timbermen,Mirage,14 - 16,L
,,,,,,,,,,,,,,NRG,timbermen,Inferno,13 - 7,W
,,,,,,,,,,,,,,NRG,Wildcard,Overpass,8 - 13,L
,,,,,,,,,,,,,,NRG,Wildcard,Anubis,4 - 13,L
,,,,,,,,,,,,,,NRG,squids,Overpass,13 - 0,W
,,,,,,,,,,,,,,NRG,regain,Anubis,13 - 0,W
,,,,,,,,,,,,,,NRG,Rocket,Mirage,13 - 16,L
,,,,,,,,,,,,,,NRG,Rocket,Anubis,14 - 16,L
,,,,,,,,,,,,,,NRG,Nouns,Inferno,8 - 13,L
,,,,,,,,,,,,,,NRG,Badass,Ancient,16 - 14,W
,,,,,,,,,,,,,,NRG,my life be like,Ancient,13 - 7,W
,,,,,,,,,,,,,,NRG,LAG,Anubis,13 - 1,W
,,,,,,,,,,,,,,NRG,LAG,Ancient,13 - 8,W
,,,,,,,,,,,,,,NRG,Nouns,Mirage,8 - 13,L
,,,,,,,,,,,,,,NRG,Nouns,Ancient,8 - 13,L
,,,,,,,,,,,,,,NRG,huge sweaty,Anubis,13 - 6,W
,,,,,,,,,,,,,,NRG,huge sweaty,Ancient,13 - 4,W
,,,,,,,,,,,,,,NRG,Party Astronauts,Mirage,16 - 14,W
,,,,,,,,,,,,,,BIG,FORZE,Nuke,13 - 6,W
,,,,,,,,,,,,,,BIG,BetBoom,Ancient,7 - 13,L
,,,,,,,,,,,,,,BIG,Spirit,Vertigo,3 - 13,L
,,,,,,,,,,,,,,BIG,Young Ninjas,Overpass,9 - 13,L
