team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,BetBoom,SINNERS,Overpass,13 - 7,W
,,,,,,,,,,,,,,BetBoom,B8,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BetBoom,Falcons,Mirage,7 - 13,L
,,,,,,,,,,,,,,BetBoom,MOUZ,Overpass,10 - 13,L
,,,,,,,,,,,,,,BetBoom,Vitality,Mirage,16 - 14,W
,,,,,,,,,,,,,,BetBoom,Ninjas in Pyjamas,Ancient,13 - 11,W
,,,,,,,,,,,,,,BetBoom,Ninjas in Pyjamas,Nuke,13 - 9,W
,,,,,,,,,,,,,,BetBoom,Aurora,Nuke,13 - 4,W
,,,,,,,,,,,,,,BetBoom,Aurora,Ancient,13 - 10,W
,,,,,,,,,,,,,,BetBoom,Alliance,Mirage,13 - 6,W
,,,,,,,,,,,,,,BetBoom,Alliance,Ancient,13 - 5,W
,,,,,,,,,,,,,,BetBoom,Alliance,Mirage,13 - 1,W
,,,,,,,,,,,,,,BetBoom,Alliance,Anubis,13 - 4,W
,,,,,,,,,,,,,,BetBoom,Blessed,Nuke,7 - 13,L
,,,,,,,,,,,,,,BetBoom,fnatic,Overpass,13 - 8,W
,,,,,,,,,,,,,,BetBoom,fnatic,Nuke,13 - 4,W
,,,,,,,,,,,,,,BetBoom,fnatic,Ancient,4 - 13,L
,,,,,,,,,,,,,,BetBoom,BLEED,Anubis,3 - 13,L
,,,,,,,,,,,,,,BetBoom,BLEED,Overpass,11 - 13,L
,,,,,,,,,,,,,,BetBoom,BLEED,Mirage,13 - 3,W
,,,,,,,,,,,,,,BetBoom,Preasy,Ancient,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Preasy,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BetBoom,Preasy,Anubis,13 - 10,W
,,,,,,,,,,,,,,BetBoom,Guild Eagles,Ancient,10 - 13,L
,,,,,,,,,,,,,,BetBoom,Guild Eagles,Overpass,4 - 13,L
,,,,,,,,,,,,,,BetBoom,Natus Vincere,Nuke,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Natus Vincere,Anubis,13 - 8,W
,,,,,,,,,,,,,,BetBoom,Natus Vincere,Overpass,4 - 13,L
,,,,,,,,,,,,,,BetBoom,Into the Breach,Mirage,13 - 1,W
,,,,,,,,,,,,,,BetBoom,FORZE,Anubis,6 - 13,L
,,,,,,,,,,,,,,BetBoom,FORZE,Overpass,17 - 19,L
,,,,,,,,,,,,,,BetBoom,FORZE,Mirage,13 - 7,W
,,,,,,,,,,,,,,BetBoom,Cloud9,Ancient,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Cloud9,Anubis,6 - 13,L
,,,,,,,,,,,,,,BetBoom,Cloud9,Overpass,25 - 22,W
,,,,,,,,,,,,,,BetBoom,OG,Mirage,13 - 9,W
,,,,,,,,,,,,,,BetBoom,OG,Overpass,13 - 9,W
,,,,,,,,,,,,,,BetBoom,BIG,Overpass,13 - 9,W
,,,,,,,,,,,,,,BetBoom,9INE,Nuke,6 - 13,L
,,,,,,,,,,,,,,BetBoom,9INE,Mirage,13 - 10,W
,,,,,,,,,,,,,,BetBoom,9INE,Ancient,13 - 16,L
,,,,,,,,,,,,,,BetBoom,Virtus.pro,Mirage,6 - 13,L
,,,,,,,,,,,,,,BetBoom,Virtus.pro,Overpass,5 - 13,L
,,,,,,,,,,,,,,BetBoom,GamerLegion,Nuke,13 - 7,W
,,,,,,,,,,,,,,BetBoom,GamerLegion,Ancient,13 - 9,W
,,,,,,,,,,,,,,BetBoom,Gucci Academy,Ancient,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Gucci Academy,Anubis,8 - 13,L
,,,,,,,,,,,,,,BetBoom,MIBR,Mirage,9 - 13,L
,,,,,,,,,,,,,,BetBoom,MIBR,Anubis,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Movistar Riders,Nuke,13 - 7,W
,,,,,,,,,,,,,,BetBoom,Movistar Riders,Anubis,13 - 3,W
,,,,,,,,,,,,,,BetBoom,Movistar Riders,Ancient,9 - 13,L
,,,,,,,,,,,,,,BetBoom,SINNERS,Overpass,13 - 7,W
,,,,,,,,,,,,,,BetBoom,SINNERS,Anubis,13 - 9,W
,,,,,,,,,,,,,,BetBoom,SINNERS,Mirage,6 - 13,L
,,,,,,,,,,,,,,BetBoom,B8,Vertigo,13 - 9,W
,,,,,,,,,,,,,,BetBoom,B8,Anubis,13 - 9,W
,,,,,,,,,,,,,,BetBoom,B8,Mirage,10 - 13,L
,,,,,,,,,,,,,,BetBoom,Falcons,Mirage,7 - 13,L
,,,,,,,,,,,,,,BetBoom,Falcons,Overpass,8 - 13,L
,,,,,,,,,,,,,,BetBoom,Falcons,Anubis,13 - 6,W
,,,,,,,,,,,,,,BetBoom,MOUZ,Overpass,10 - 13,L
,,,,,,,,,,,,,,BetBoom,MOUZ,Ancient,13 - 7,W
,,,,,,,,,,,,,,BetBoom,MOUZ,Mirage,15 - 19,L
,,,,,,,,,,,,,,BetBoom,Vitality,Mirage,16 - 14,W
,,,,,,,,,,,,,,Mindfreak,DXA,Ancient,13 - 11,W
,,,,,,,,,,,,,,Mindfreak,Canon Event,Overpass,13 - 6,W
,,,,,,,,,,,,,,Mindfreak,Bad News Kangaroos,Overpass,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Mirage,7 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Mirage,11 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,1 - 13,L
,,,,,,,,,,,,,,Mindfreak,gfg123321,Mirage,13 - 5,W
,,,,,,,,,,,,,,Mindfreak,DEMESIS,Anubis,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,DXA,Nuke,13 - 4,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Overpass,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Overpass,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,DXA,Nuke,13 - 11,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,16 - 13,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Grayhound,Mirage,7 - 13,L
,,,,,,,,,,,,,,Mindfreak,RKON,Inferno,13 - 6,W
,,,,,,,,,,,,,,Mindfreak,500x,Anubis,13 - 4,W
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Anubis,13 - 5,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,13 - 16,L
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,DXA,Ancient,13 - 11,W
,,,,,,,,,,,,,,Mindfreak,Canon Event,Overpass,13 - 6,W
,,,,,,,,,,,,,,Mindfreak,Bad News Kangaroos,Overpass,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Mirage,7 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Mirage,11 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,1 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Mirage,2 - 13,L
,,,,,,,,,,,,,,Mindfreak,gfg123321,Mirage,13 - 5,W
,,,,,,,,,,,,,,Mindfreak,DEMESIS,Anubis,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,DXA,Nuke,13 - 4,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Overpass,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Mirage,16 - 14,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Overpass,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Inferno,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,DXA,Nuke,13 - 11,W
,,,,,,,,,,,,,,Mindfreak,DXA,Ancient,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,16 - 13,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Grayhound,Mirage,7 - 13,L
,,,,,,,,,,,,,,Mindfreak,RKON,Inferno,13 - 6,W
,,,,,,,,,,,,,,Mindfreak,500x,Anubis,13 - 4,W
,,,,,,,,,,,,,,Mindfreak,500x,Nuke,13 - 0,W
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,13 - 9,W
,,,,,,,,,,,,,,Mindfreak,KZG,Overpass,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Anubis,13 - 5,W
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Overpass,13 - 11,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,13 - 16,L
,,,,,,,,,,,,,,Mindfreak,Vantage,Vertigo,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,13 - 4,W
,,,,,,,,,,,,,,Mindfreak,DXA,Mirage,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Canon Event,Anubis,13 - 3,W
,,,,,,,,,,,,,,Mindfreak,Bad News Kangaroos,Nuke,2 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,13 - 3,W
,,,,,,,,,,,,,,Mindfreak,RKON,Mirage,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,3 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Inferno,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,5 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Anubis,9 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,MAKING HISTORY,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,PatatiPatata,Overpass,13 - 1,W
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,iM Apartments,Nuke,13 - 0,W
,,,,,,,,,,,,,,Mindfreak,sunday school,Overpass,9 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Mirage,3 - 13,L
,,,,,,,,,,,,,,Mindfreak,Vantage,Nuke,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,DXA,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Mirage,11 - 13,L
,,,,,,,,,,,,,,Mindfreak,DXA,Mirage,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Canon Event,Anubis,13 - 3,W
,,,,,,,,,,,,,,Mindfreak,Bad News Kangaroos,Nuke,2 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,13 - 3,W
,,,,,,,,,,,,,,Mindfreak,RKON,Mirage,13 - 7,W
,,,,,,,,,,,,,,Mindfreak,Vantage,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,KZG,Anubis,3 - 13,L
,,,,,,,,,,,,,,Mindfreak,KZG,Ancient,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Inferno,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,5 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Anubis,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Nuke,5 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Anubis,9 - 13,L
,,,,,,,,,,,,,,Mindfreak,Grayhound,Ancient,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Anubis,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,MAKING HISTORY,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,MAKING HISTORY,Anubis,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,MAKING HISTORY,Ancient,8 - 13,L
,,,,,,,,,,,,,,Mindfreak,PatatiPatata,Overpass,13 - 1,W
,,,,,,,,,,,,,,Mindfreak,KZG,Nuke,13 - 8,W
,,,,,,,,,,,,,,Mindfreak,iM Apartments,Nuke,13 - 0,W
,,,,,,,,,,,,,,Mindfreak,sunday school,Overpass,9 - 13,L
,,,,,,,,,,,,,,Mindfreak,sunday school,Nuke,8 - 13,L
,,,,,,,,,,,,,,Mindfreak,sunday school,Mirage,13 - 10,W
,,,,,,,,,,,,,,Mindfreak,Rooster,Mirage,3 - 13,L
,,,,,,,,,,,,,,Mindfreak,Rooster,Nuke,4 - 13,L
,,,,,,,,,,,,,,Mindfreak,Vantage,Nuke,10 - 13,L
,,,,,,,,,,,,,,Mindfreak,Vantage,Anubis,5 - 13,L
,,,,,,,,,,,,,,Mindfreak,DXA,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Mindfreak,DXA,Overpass,6 - 13,L
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Mirage,11 - 13,L
,,,,,,,,,,,,,,Mindfreak,Stirlzs Angels,Anubis,9 - 13,L
,,,,,,,,,,,,,,FORZE,BIG,Nuke,6 - 13,L
,,,,,,,,,,,,,,FORZE,TSM,Overpass,13 - 8,W
,,,,,,,,,,,,,,FORZE,ENCE,Ancient,16 - 13,W
,,,,,,,,,,,,,,FORZE,Space,Anubis,13 - 4,W
,,,,,,,,,,,,,,FORZE,Apeks,Ancient,13 - 7,W
,,,,,,,,,,,,,,FORZE,BetBoom,Overpass,16 - 13,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,13 - 9,W
,,,,,,,,,,,,,,FORZE,NAVI Junior,Mirage,13 - 7,W
,,,,,,,,,,,,,,FORZE,AMKAL,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,Aurora,Overpass,10 - 13,L
,,,,,,,,,,,,,,FORZE,KOI,Ancient,13 - 4,W
,,,,,,,,,,,,,,FORZE,V1dar,Nuke,13 - 5,W
,,,,,,,,,,,,,,FORZE,Espionage,Anubis,1 - 13,L
,,,,,,,,,,,,,,FORZE,BetBoom,Anubis,13 - 6,W
,,,,,,,,,,,,,,FORZE,Espionage,Nuke,8 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Anubis,11 - 13,L
,,,,,,,,,,,,,,FORZE,sYnck,Inferno,6 - 13,L
,,,,,,,,,,,,,,FORZE,9INE,Ancient,13 - 16,L
,,,,,,,,,,,,,,FORZE,3DMAX,Inferno,7 - 13,L
,,,,,,,,,,,,,,FORZE,Apeks,Anubis,13 - 8,W
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,13 - 11,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Inferno,13 - 11,W
,,,,,,,,,,,,,,FORZE,GODSENT,Inferno,19 - 16,W
,,,,,,,,,,,,,,FORZE,9INE,Anubis,14 - 16,L
,,,,,,,,,,,,,,FORZE,FTW,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,PERA,Inferno,13 - 5,W
,,,,,,,,,,,,,,FORZE,Space,Overpass,13 - 7,W
,,,,,,,,,,,,,,FORZE,ALTERNATE aTTaX,Inferno,13 - 3,W
,,,,,,,,,,,,,,FORZE,The Witchers,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,Zero Tenacity,Mirage,13 - 8,W
,,,,,,,,,,,,,,FORZE,Pompa,Mirage,17 - 19,L
,,,,,,,,,,,,,,FORZE,Aurora Young Blud,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,PGE Turow,Anubis,13 - 7,W
,,,,,,,,,,,,,,FORZE,Monte,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,The Chosen Few,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,Falcons,Nuke,16 - 13,W
,,,,,,,,,,,,,,FORZE,Falcons,Mirage,13 - 6,W
,,,,,,,,,,,,,,FORZE,The Prodigies SE,Mirage,13 - 10,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,14 - 16,L
,,,,,,,,,,,,,,FORZE,BIG,Nuke,6 - 13,L
,,,,,,,,,,,,,,FORZE,BIG,Anubis,14 - 16,L
,,,,,,,,,,,,,,FORZE,BIG,Ancient,13 - 10,W
,,,,,,,,,,,,,,FORZE,TSM,Overpass,13 - 8,W
,,,,,,,,,,,,,,FORZE,TSM,Mirage,8 - 13,L
,,,,,,,,,,,,,,FORZE,TSM,Inferno,13 - 11,W
,,,,,,,,,,,,,,FORZE,ENCE,Ancient,16 - 13,W
,,,,,,,,,,,,,,FORZE,ENCE,Anubis,3 - 13,L
,,,,,,,,,,,,,,FORZE,ENCE,Mirage,13 - 10,W
,,,,,,,,,,,,,,FORZE,Space,Anubis,13 - 4,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,13 - 11,W
,,,,,,,,,,,,,,FORZE,Space,Mirage,10 - 13,L
,,,,,,,,,,,,,,FORZE,Apeks,Ancient,13 - 7,W
,,,,,,,,,,,,,,FORZE,Apeks,Mirage,13 - 11,W
,,,,,,,,,,,,,,FORZE,BetBoom,Overpass,16 - 13,W
,,,,,,,,,,,,,,FORZE,BetBoom,Anubis,13 - 11,W
,,,,,,,,,,,,,,FORZE,BetBoom,Mirage,10 - 13,L
,,,,,,,,,,,,,,FORZE,BetBoom,Nuke,16 - 13,W
,,,,,,,,,,,,,,FORZE,BetBoom,Ancient,3 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,13 - 9,W
,,,,,,,,,,,,,,FORZE,Preasy,Nuke,13 - 5,W
,,,,,,,,,,,,,,FORZE,NAVI Junior,Mirage,13 - 7,W
,,,,,,,,,,,,,,FORZE,NAVI Junior,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,NAVI Junior,Ancient,10 - 13,L
,,,,,,,,,,,,,,FORZE,AMKAL,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,Aurora,Overpass,10 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora,Mirage,10 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora,Nuke,16 - 14,W
,,,,,,,,,,,,,,FORZE,KOI,Ancient,13 - 4,W
,,,,,,,,,,,,,,FORZE,KOI,Inferno,13 - 8,W
,,,,,,,,,,,,,,FORZE,KOI,Nuke,8 - 13,L
,,,,,,,,,,,,,,FORZE,V1dar,Nuke,13 - 5,W
,,,,,,,,,,,,,,FORZE,V1dar,Anubis,13 - 7,W
,,,,,,,,,,,,,,FORZE,Espionage,Anubis,1 - 13,L
,,,,,,,,,,,,,,FORZE,Espionage,Nuke,9 - 13,L
,,,,,,,,,,,,,,FORZE,BetBoom,Anubis,13 - 6,W
,,,,,,,,,,,,,,FORZE,BetBoom,Overpass,19 - 17,W
,,,,,,,,,,,,,,FORZE,BetBoom,Mirage,7 - 13,L
,,,,,,,,,,,,,,FORZE,Espionage,Nuke,8 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Anubis,11 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,11 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Nuke,16 - 14,W
,,,,,,,,,,,,,,FORZE,sYnck,Inferno,6 - 13,L
,,,,,,,,,,,,,,FORZE,9INE,Ancient,13 - 16,L
,,,,,,,,,,,,,,FORZE,9INE,Nuke,8 - 13,L
,,,,,,,,,,,,,,FORZE,3DMAX,Inferno,7 - 13,L
,,,,,,,,,,,,,,FORZE,3DMAX,Nuke,14 - 16,L
,,,,,,,,,,,,,,FORZE,Apeks,Anubis,13 - 8,W
,,,,,,,,,,,,,,FORZE,Apeks,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,Apeks,Overpass,8 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,13 - 11,W
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Inferno,6 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Inferno,13 - 11,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Overpass,13 - 5,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Nuke,9 - 13,L
,,,,,,,,,,,,,,FORZE,GODSENT,Inferno,19 - 16,W
,,,,,,,,,,,,,,FORZE,GODSENT,Nuke,13 - 10,W
,,,,,,,,,,,,,,FORZE,9INE,Anubis,14 - 16,L
,,,,,,,,,,,,,,FORZE,9INE,Nuke,16 - 19,L
,,,,,,,,,,,,,,FORZE,FTW,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,FTW,Ancient,13 - 8,W
,,,,,,,,,,,,,,FORZE,PERA,Inferno,13 - 5,W
,,,,,,,,,,,,,,FORZE,PERA,Ancient,13 - 10,W
,,,,,,,,,,,,,,FORZE,Space,Overpass,13 - 7,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,ALTERNATE aTTaX,Inferno,13 - 3,W
,,,,,,,,,,,,,,FORZE,ALTERNATE aTTaX,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,The Witchers,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,The Witchers,Mirage,13 - 7,W
,,,,,,,,,,,,,,FORZE,Zero Tenacity,Mirage,13 - 8,W
,,,,,,,,,,,,,,FORZE,Zero Tenacity,Nuke,13 - 10,W
,,,,,,,,,,,,,,FORZE,Zero Tenacity,Inferno,9 - 13,L
,,,,,,,,,,,,,,FORZE,Pompa,Mirage,17 - 19,L
,,,,,,,,,,,,,,FORZE,Pompa,Anubis,13 - 9,W
,,,,,,,,,,,,,,FORZE,Pompa,Inferno,11 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora Young Blud,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,Aurora Young Blud,Ancient,13 - 11,W
,,,,,,,,,,,,,,FORZE,PGE Turow,Anubis,13 - 7,W
,,,,,,,,,,,,,,FORZE,PGE Turow,Nuke,13 - 11,W
,,,,,,,,,,,,,,FORZE,Monte,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,Monte,Anubis,5 - 13,L
,,,,,,,,,,,,,,FORZE,Monte,Nuke,16 - 14,W
,,,,,,,,,,,,,,FORZE,The Chosen Few,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,The Chosen Few,Inferno,8 - 13,L
,,,,,,,,,,,,,,FORZE,Falcons,Nuke,16 - 13,W
,,,,,,,,,,,,,,FORZE,Falcons,Overpass,13 - 9,W
,,,,,,,,,,,,,,FORZE,Falcons,Mirage,13 - 6,W
,,,,,,,,,,,,,,FORZE,Falcons,Nuke,4 - 13,L
,,,,,,,,,,,,,,FORZE,Falcons,Anubis,16 - 13,W
,,,,,,,,,,,,,,FORZE,The Prodigies SE,Mirage,13 - 10,W
,,,,,,,,,,,,,,FORZE,The Prodigies SE,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,14 - 16,L
,,,,,,,,,,,,,,FORZE,Space,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,Space,Ancient,13 - 6,W
,,,,,,,,,,,,,,FORZE,Aurora,Anubis,7 - 13,L
,,,,,,,,,,,,,,FORZE,brazylijski luz,Overpass,13 - 7,W
,,,,,,,,,,,,,,FORZE,3DMAX,Anubis,8 - 13,L
,,,,,,,,,,,,,,FORZE,500,Overpass,9 - 13,L
,,,,,,,,,,,,,,FORZE,B8,Mirage,9 - 13,L
,,,,,,,,,,,,,,FORZE,VP.Prodigy,Nuke,13 - 4,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Ancient,11 - 13,L
,,,,,,,,,,,,,,FORZE,KOI,Nuke,7 - 13,L
,,,,,,,,,,,,,,FORZE,3DMAX,Nuke,13 - 11,W
,,,,,,,,,,,,,,FORZE,9 Pandas,Inferno,13 - 8,W
,,,,,,,,,,,,,,FORZE,Aurora,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,ARCRED,Ancient,13 - 6,W
,,,,,,,,,,,,,,FORZE,RUBY,Overpass,13 - 6,W
,,,,,,,,,,,,,,FORZE,Espionage,Ancient,11 - 13,L
,,,,,,,,,,,,,,FORZE,GUN5,Anubis,13 - 8,W
,,,,,,,,,,,,,,FORZE,Aurora,Overpass,13 - 8,W
,,,,,,,,,,,,,,FORZE,HEROIC,Anubis,9 - 13,L
,,,,,,,,,,,,,,FORZE,SAW,Overpass,13 - 6,W
,,,,,,,,,,,,,,FORZE,SINNERS,Inferno,13 - 4,W
,,,,,,,,,,,,,,FORZE,Spirit,Mirage,13 - 8,W
,,,,,,,,,,,,,,FORZE,Space,Mirage,13 - 10,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,7 - 13,L
,,,,,,,,,,,,,,FORZE,Anonymo,Mirage,13 - 6,W
,,,,,,,,,,,,,,FORZE,Apeks,Inferno,10 - 13,L
,,,,,,,,,,,,,,FORZE,Sprout,Inferno,11 - 13,L
,,,,,,,,,,,,,,FORZE,Space,Mirage,16 - 12,W
,,,,,,,,,,,,,,FORZE,ENEIDA,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,ECSTATIC,Anubis,4 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,SAW,Anubis,13 - 2,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Anubis,13 - 11,W
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,6 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Ancient,10 - 13,L
,,,,,,,,,,,,,,FORZE,Nexus,Nuke,13 - 5,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,12 - 16,L
,,,,,,,,,,,,,,FORZE,9 Pandas,Anubis,13 - 9,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,Metizport,Ancient,5 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora,Anubis,7 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora,Mirage,16 - 19,L
,,,,,,,,,,,,,,FORZE,brazylijski luz,Overpass,13 - 7,W
,,,,,,,,,,,,,,FORZE,brazylijski luz,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,brazylijski luz,Mirage,10 - 13,L
,,,,,,,,,,,,,,FORZE,3DMAX,Anubis,8 - 13,L
,,,,,,,,,,,,,,FORZE,3DMAX,Vertigo,11 - 13,L
,,,,,,,,,,,,,,FORZE,500,Overpass,9 - 13,L
,,,,,,,,,,,,,,FORZE,B8,Mirage,9 - 13,L
,,,,,,,,,,,,,,FORZE,B8,Nuke,13 - 2,W
,,,,,,,,,,,,,,FORZE,B8,Anubis,8 - 13,L
